match_url,map1_name,map2_name,map3_name
https://www.hltv.org/matches/2386412/-,Mirage,Nuke,Inferno
https://www.hltv.org/matches/2386503/-,Overpass,Train,Ancient
https://www.hltv.org/matches/2385955/-,Ancient,Train,Mirage
https://www.hltv.org/matches/2386222/-,Ancient,Mirage,Nuke
https://www.hltv.org/matches/2386650/-,Mirage,Nuke,Train
https://www.hltv.org/matches/2386201/-,Overpass,Nuke,Train
https://www.hltv.org/matches/2386504/-,Mirage,Nuke,Dust2
https://www.hltv.org/matches/2386649/-,Dust2,Inferno,Overpass
https://www.hltv.org/matches/2386411/-,Mirage,Dust2,Nuke
https://www.hltv.org/matches/2386652/-,,,
https://www.hltv.org/matches/2386205/-,,,
https://www.hltv.org/matches/2386484/-,Overpass,Mirage,Nuke
https://www.hltv.org/matches/2386490/-,Overpass,Nuke,Dust2
https://www.hltv.org/matches/2386487/-,Ancient,Overpass,Nuke
https://www.hltv.org/matches/2386485/-,Inferno,Mirage,Train
https://www.hltv.org/matches/2386491/-,Nuke,Overpass,Dust2
https://www.hltv.org/matches/2386311/-,Nuke,Ancient,Overpass
https://www.hltv.org/matches/2386486/-,,,
https://www.hltv.org/matches/2386640/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386478/-,Inferno,Nuke,Train
https://www.hltv.org/matches/2386474/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386475/-,Dust2,Ancient,Inferno
https://www.hltv.org/matches/2386471/-,Inferno,Overpass,Nuke
https://www.hltv.org/matches/2386476/-,Dust2,Mirage,Nuke
https://www.hltv.org/matches/2386477/-,Mirage,Nuke,Dust2
https://www.hltv.org/matches/2386639/-,Dust2,Overpass,Inferno
https://www.hltv.org/matches/2386473/-,,,
https://www.hltv.org/matches/2386457/-,Mirage,Ancient,Train
https://www.hltv.org/matches/2385952/-,Ancient,Inferno,Nuke
https://www.hltv.org/matches/2386472/-,,,
https://www.hltv.org/matches/2386456/-,Train,Inferno,Mirage
https://www.hltv.org/matches/2386498/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386648/-,Train,Inferno,Mirage
https://www.hltv.org/matches/2386638/-,Mirage,Nuke,Ancient
https://www.hltv.org/matches/2386455/-,Mirage,Inferno,Dust2
https://www.hltv.org/matches/2386459/-,Dust2,Mirage,Inferno
https://www.hltv.org/matches/2386410/-,Nuke,Dust2,Inferno
https://www.hltv.org/matches/2386460/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2385953/-,Dust2,Mirage,Ancient
https://www.hltv.org/matches/2386461/-,Overpass,Train,
https://www.hltv.org/matches/2386496/-,Dust2,Overpass,Mirage
https://www.hltv.org/matches/2386223/-,Ancient,Nuke,Overpass
https://www.hltv.org/matches/2385950/-,Inferno,Ancient,Nuke
https://www.hltv.org/matches/2386324/-,Inferno,Overpass,Train
https://www.hltv.org/matches/2386462/-,,,
https://www.hltv.org/matches/2386637/-,Dust2,Ancient,Inferno
https://www.hltv.org/matches/2386647/-,Dust2,Overpass,Ancient
https://www.hltv.org/matches/2385951/-,Ancient,Dust2,Nuke
https://www.hltv.org/matches/2386514/-,Dust2,Train,Overpass
https://www.hltv.org/matches/2386511/-,Dust2,Mirage,Ancient
https://www.hltv.org/matches/2386510/-,Nuke,Inferno,Dust2
https://www.hltv.org/matches/2386509/-,Inferno,Dust2,Mirage
https://www.hltv.org/matches/2386515/-,Ancient,Dust2,Nuke
https://www.hltv.org/matches/2386408/-,Ancient,Nuke,Overpass
https://www.hltv.org/matches/2385948/-,Inferno,Train,Nuke
